word,code(s)
anode machine operator,occ2000-820
anode rebuilder,occ2000-733
anode worker,occ2000-762
anodic operator,occ2000-820
anodic treater,occ2000-820
anodize machine operator,occ2000-820
anodizer,occ2000-820
answering service,occ2000-501
answering service or answering phones telephone operator,occ2000-501
antenna installer,"occ2000-635, occ2000-720, occ2000-775"
antenna machine operator,occ2000-896
antenna rigger,occ2000-635
antenna specialist,occ2000-720
anthropologist,"055, occ2000-186, isco08-2632, isco08-2632"
anthropologists,055
anthropology,isco08-2632
anthropology teacher,occ2000-220
antique automobiles repairer,occ2000-715
antique clocks repairer,occ2000-743
antique collector,occ2000-470
antique dealer,"occ2000-470, occ2000-470"
antique finisher,occ2000-851
antique furniture repairer,occ2000-850
antique jewelry repairer,occ2000-875
antique refinisher,occ2000-851
antique repairer,occ2000-850
antiquer,"occ2000-834, occ2000-851"
antisqueak worker,occ2000-775
anvil seating press operator,occ2000-793
anvil worker,occ2000-762
anvilsmith,occ2000-762
any activity auto service advisor,occ2000-874
any activity legal secretary,occ2000-570
any activity medical secretary,occ2000-570
any activity millwright,occ2000-736
any activity service advisor,occ2000-874
any article welder,occ2000-814
any specified activity--code by activity clerical office worker,occ2000-
any specified activity--code by activity clerical worker,occ2000-
any type crop farm,occ2000-605
any type crop or grain farmer,occ2000-605
any type livestock farmer,occ2000-605
apartment coordinator,occ2000-034
apartment hotel manager,occ2000-041
apartment house manager,occ2000-041
apartment locator,occ2000-593
apartment manager,occ2000-041
apartment rental agent,"occ2000-492, occ2000-492"
apartment rental clerk,occ2000-474
apiarist,"occ2000-020, occ2000-021"
apiculture teacher,occ2000-220
apiculturist,"occ2000-160, occ2000-020, occ2000-021"
apothecary,occ2000-305
apparatus cleaner,occ2000-961
apparel machinery instructor,occ2000-220
apparel rental clerk,occ2000-474
apparel trimmings sales,occ2000-485
appeals referee,occ2000-211
appellate conferee,occ2000-211
apple packing header,occ2000-964
apple peeler operator,occ2000-871
apple picker,occ2000-605
apple press operator,occ2000-880
apple thinner,occ2000-605
apple turner,occ2000-604
appliance adjuster,occ2000-732
appliance assembler,occ2000-772
appliance counselor,occ2000-490
appliance installer,occ2000-732
appliance man,occ2000-732
appliance parts counter clerk,occ2000-475
appliance service supervisor,occ2000-700
appliance service worker,"637, 723, 827"
appliance service workers,"637, 723, 827"
appliance technician,occ2000-732
appliances sales,occ2000-476
appliances sample maker,occ2000-806
application worker,occ2000-525
applications computer instructor,occ2000-104
applications developer,occ2000-102
applications quality assurance specialist,occ2000-102
applicator,"occ2000-640, occ2000-651, occ2000-623"
applicator sprayer,occ2000-425
applied psychology teacher,occ2000-220
applied statistician,occ2000-123
applique cutter,occ2000-871
appliquer,"occ2000-832, occ2000-835"
appointment clerk,occ2000-540
appraiser,191
appraiser ,"occ2000-054, occ2000-496, occ2000-081, occ2000-056"
appraisers,191
apprentice ,"occ2000-826, occ2000-720, occ2000-813"
apprentice \ other specified--code by craft or work performed,occ2000-
apprenticeship consultant,occ2000-023
apprenticeship representative,occ2000-023
apprenticeship training representative,occ2000-013
apron cleaner,occ2000-961
apron man,occ2000-896
apron operator,"occ2000-832, occ2000-896"
apron trimmer,occ2000-834
aquaculture farm manager,occ2000-020
aquaculture farm owner,occ2000-021
aquaculture worker,occ2000-605
aquaculturist,occ2000-021
aquarist,occ2000-435
aquarium tank attendant,occ2000-435
aquatic biologist,occ2000-161
aquatic laborer,occ2000-605
aquatic performer,occ2000-276
aqueduct patrolman,isco08-5419
arabic teacher,occ2000-220
arbitrator ,occ2000-211
arbor press operator,occ2000-822
arborer,occ2000-875
arboriculture teacher,occ2000-220
arboriculturist,"occ2000-160, occ2000-020, occ2000-021"
arborist,occ2000-160
arc cutter,occ2000-814
arc welder,occ2000-814
arcade attendant,"occ2000-443, occ2000-443"
arcade games mechanic,occ2000-751
arch cushion press operator,occ2000-834
arch support technician,occ2000-876
arch-support maker,occ2000-876
archaeologist,"055, occ2000-186"
archaeologists,055
archaeology teacher,occ2000-220
archer,"occ2000-272, occ2000-834"
archery equipment hay sorter,occ2000-963
architect,"001, occ2000-130, isco08-2161, isco08-2162"
architects,001
architectural and engineering supplies sales,occ2000-485
architectural designer,occ2000-130
architectural drafter,"001, occ2000-154"
architectural drafters,001
architectural engineer,occ2000-136
architectural engineering teacher,occ2000-220
architectural examiner,occ2000-666
architectural inspector,occ2000-666
architectural model maker,777
architectural model makers,777
architectural modeler,occ2000-260
architectural superintendent,occ2000-130
architecture,"isco08-2161, isco08-2162"
architecture teacher,occ2000-220
archivist,"occ2000-240, isco08-2621"
area captain,occ2000-900
area counselor,occ2000-900
area field man,occ2000-053
area land man,occ2000-081
area mechanic,occ2000-733
