term,code(s)
forming machine operator,occ2000-843
spinner,occ2000-843
spinning bath patroller,occ2000-843
spinning bath person,occ2000-843
synthetic filament extruder,occ2000-843
synthetic filament spinner,occ2000-843
synthetic staple extruder,occ2000-843
cartoon designer,occ2000-844
clothing pattern preparer,occ2000-844
clothing patternmaker,occ2000-844
designer and patternmaker,occ2000-844
embroidery patternmaker,occ2000-844
fashion patternmaker,occ2000-844
garment patternmaker,occ2000-844
pattern grader,occ2000-844
pattern grader cutter,occ2000-844
patternmaker ,occ2000-844
clothing patternmaker,occ2000-844
fashion patternmaker,occ2000-844
garment patternmaker,occ2000-844
pleat patternmaker,occ2000-844
shoe patternmaker,occ2000-844
automobile upholsterer apprentice,occ2000-845
furniture upholsterer apprentice,occ2000-845
upholsterer apprentice,occ2000-845
arm maker,occ2000-845
arm rest builder,occ2000-845
upholstery auto trimmer,occ2000-845
auto upholsterer,occ2000-845
automotive upholsterer,occ2000-845
body trimmer upholsterer,occ2000-845
car seat coverer,occ2000-845
car seat maker,occ2000-845
car seat upholsterer,occ2000-845
casket coverer,occ2000-845
casket trimmer,occ2000-845
chair pad maker,occ2000-845
chair upholsterer,occ2000-845
convertible top installer,occ2000-845
decorator ,occ2000-845
furniture upholsterer,occ2000-845
gimp tacker,occ2000-845
auto top mechanic,occ2000-845
furniture upholstery mechanic,occ2000-845
upholstery mechanic,occ2000-845
upholstery repairer,occ2000-845
seat cover cutter,occ2000-845
seat cover installer,occ2000-845
seat coverer,occ2000-845
slip cover cutter,occ2000-845
top and trim worker,occ2000-845
top installer,occ2000-845
trimmer ,occ2000-845
seat covers trimmer,occ2000-845
upholstery trimmer,occ2000-845
upholsterer,occ2000-845
upholstery cutter,occ2000-845
upholstery trimmer,occ2000-845
vinyl top installer,occ2000-845
airplane cover maker,occ2000-846
airplane coverer,occ2000-846
canvas worker apprentice,occ2000-846
furrier apprentice,occ2000-846
attenuator,occ2000-846
awning maker,occ2000-846
batcher,occ2000-846
batt machine operator,occ2000-846
battery filler,occ2000-846
battery hand,occ2000-846
battery loader,occ2000-846
bead machine operator,occ2000-846
blower,occ2000-846
blower operator,occ2000-846
board finisher,occ2000-846
boarder,occ2000-846
boarding machine operator,occ2000-846
boat canvas installer,occ2000-846
boat canvas maker and installer,occ2000-846
bobbin cleaner,occ2000-846
bobbin drier,occ2000-846
bobbin dumper,occ2000-846
bobbin fixer,occ2000-846
bobbin marker,occ2000-846
bobbin painter,occ2000-846
bobbin presser,occ2000-846
bobbin stripper,occ2000-846
bobbin washer,occ2000-846
boil off worker,occ2000-846
bolt labeler,occ2000-846
bonding machine setter,occ2000-846
bow maker machine tender,occ2000-846
bow making machine operator,occ2000-846
bowker,occ2000-846
braid maker,occ2000-846
breaker,occ2000-846
breaker hand,occ2000-846
breaker up machine operator,occ2000-846
brim curler,occ2000-846
brim molder,occ2000-846
brim pouncer,occ2000-846
brim pouncer machine operator,occ2000-846
brim stretching machine operator,occ2000-846
brown sourer,occ2000-846
brusher operator,occ2000-846
brusher warp,occ2000-846
buffer ,occ2000-846
buffing wheel former machine,occ2000-846
buffing wheel raker,occ2000-846
burler,occ2000-846
burr picker,occ2000-846
burrer,occ2000-846
button breaker operator,occ2000-846
button puncher,occ2000-846
button pusher,occ2000-846
button station worker,occ2000-846
button tufter,occ2000-846
cake wringer,occ2000-846
calender machine operator,occ2000-846
calender operator,occ2000-846
calender runner,occ2000-846
calender tender,occ2000-846
can dryer,occ2000-846
can operator,occ2000-846
can runner,occ2000-846
can slider,occ2000-846
can tender,occ2000-846
canvas worker,occ2000-846
carbonizer,occ2000-846
card brusher,occ2000-846
card cleaner,occ2000-846
card clothier,occ2000-846
card feeder,occ2000-846
card fixer,occ2000-846
card grinder,occ2000-846
card hand,occ2000-846
card lacer,occ2000-846
card runner,occ2000-846
card scraper,occ2000-846
card setter,occ2000-846
card stripper,occ2000-846
card tender,occ2000-846
carding machine operator,occ2000-846
cardroom drawing runner,occ2000-846
cardroom hand,occ2000-846
cardroom worker,occ2000-846
carpet binder,occ2000-846
carpet cleaner,occ2000-846
carroter,occ2000-846
carroting machine operator,occ2000-846
chain builder,occ2000-846
chain splitter,occ2000-846
chainer,occ2000-846
change over,occ2000-846
chemic mangler,occ2000-846
chinchilla machine operator,occ2000-846
chrome tanner,occ2000-846
clammer,occ2000-846
cloth baler,occ2000-846
cloth edge singer,occ2000-846
cloth hand,occ2000-846
cloth mercerizer operator,occ2000-846
cloth piecer,occ2000-846
cloth reeler,occ2000-846
cloth sander,occ2000-846
cloth sponger,occ2000-846
cloth spreader ,occ2000-846
screen printing cloth spreader,occ2000-846
clothier,occ2000-846
textile coating machine operator,occ2000-846
collar turner,occ2000-846
colloid mill operator,occ2000-846
comb tender,occ2000-846
comber operator,occ2000-846
comber tender,occ2000-846
conditioner tender,occ2000-846
cone cleaner,occ2000-846
cone marker,occ2000-846
cop breaker,occ2000-846
copyist ,occ2000-846
corduroy brusher operator,occ2000-846
corset fitter,occ2000-846
corsetier,occ2000-846
cotton ball machine tender,occ2000-846
cotton machine operator,occ2000-846
cotton opener,occ2000-846
crabber,occ2000-846
crabbing machine operator,occ2000-846
creasing machine operator,occ2000-846
crepe box tender,occ2000-846
crusher and binder operator,occ2000-846
cuff matcher,occ2000-846
curer ,occ2000-846
cylinder batcher,occ2000-846
dandy operator,occ2000-846
dandy tender,occ2000-846
decatizer,occ2000-846
decator,occ2000-846
decator operator,occ2000-846
designer,occ2000-846
desizing machine operator,occ2000-846
detacher,occ2000-846
devil tender,occ2000-846
dewer,occ2000-846
die turner,occ2000-846
dielectric embossing machine operator,occ2000-846
dielectric machine operator,occ2000-846
doubler,occ2000-846
doubler operator,occ2000-846
doubling machine operator,occ2000-846
douper,occ2000-846
draper,occ2000-846
draw end hand,occ2000-846
draw string knotter,occ2000-846
drawstring knotter,occ2000-846
dress draper,occ2000-846
drier operator,occ2000-846
drop wire aliner,occ2000-846
drop wire operator,occ2000-846
drop wirer,occ2000-846
drosophere operator,occ2000-846
drum attendant,occ2000-846
drum printer,occ2000-846
drum tender,occ2000-846
drummer,occ2000-846
dry box tender,occ2000-846
dry can tender,occ2000-846
dry drug worker,occ2000-846
dry finisher,occ2000-846
dry roller,occ2000-846
drying can worker,occ2000-846
drying frame operator,occ2000-846
drying room operator,occ2000-846
dumper operator,occ2000-846
dunger,occ2000-846
duster,occ2000-846
edge stainer,occ2000-846
electrifier operator,occ2000-846
emblem drawer in,occ2000-846
embosser,occ2000-846
english drawer,occ2000-846
enterer,occ2000-846
extracting machine operator,occ2000-846
eyelet machine operator,occ2000-846
eyelet maker,occ2000-846
eyelet operator,occ2000-846
eyelet punch operator,occ2000-846
eyeletter,occ2000-846
face burler,occ2000-846
feather washer,occ2000-846
felt carbonizer,occ2000-846
felt hooker,occ2000-846
felt strip finisher,occ2000-846
felting machine operator,occ2000-846
feltmaker,occ2000-846
fiber drier operator,occ2000-846
filling layer up,occ2000-846
fish net maker,occ2000-846
flyer,occ2000-846
flyer builder,occ2000-846
flyer maker,occ2000-846
folder ,occ2000-846
folder machine operator,occ2000-846
folder operator,occ2000-846
folding machine operator,occ2000-846
foundation maker,occ2000-846
frame maker,occ2000-846
french comber,occ2000-846
french weaver,occ2000-846
fuller,occ2000-846
fulling machine operator,occ2000-846
fulling mill operator,occ2000-846
fur blower operator,occ2000-846
fur cleaner,occ2000-846
fur comber,occ2000-846
fur cutter,occ2000-846
fur dresser,occ2000-846
fur drummer,occ2000-846
fur feeder,occ2000-846
fur finisher ,occ2000-846
fur glazer,occ2000-846
fur glosser,occ2000-846
fur machine operator,occ2000-846
fur matcher,occ2000-846
fur nailer,occ2000-846
fur pointer,occ2000-846
fur polisher,occ2000-846
fur puller,occ2000-846
fur tanner,occ2000-846
fusing machine operator,occ2000-846
fusion operator,occ2000-846
garnett machine operator,occ2000-846
garnett room worker,occ2000-846
garnetter,occ2000-846
gas singer,occ2000-846
gasser,occ2000-846
gasser machine operator,occ2000-846
gig tender,occ2000-846
gigger,occ2000-846
gill box tender,occ2000-846
gill tender,occ2000-846
gin feeder,occ2000-846
glove brusher,occ2000-846
gold tooler,occ2000-846
greaser operator,occ2000-846
grey percher,occ2000-846
grey tender,occ2000-846
grey washer,occ2000-846
gripper installer,occ2000-846
gripper machine operator,occ2000-846
grommet machine operator,occ2000-846
guide changer,occ2000-846
gum worker,occ2000-846
hair boiler,occ2000-846
hair boiler operator,occ2000-846
hair dryer,occ2000-846
hair machine operator,occ2000-846
hander in,occ2000-846
harness cutter,occ2000-846
harness mender,occ2000-846
hat blocking machine operator,occ2000-846
hat copyist,occ2000-846
hat finisher,occ2000-846
hat former,occ2000-846
hat maker,occ2000-846
hat sizer,occ2000-846
hat trimmer,occ2000-846
hatter,occ2000-846
heddler,occ2000-846
helmet coverer,occ2000-846
hide tanner,occ2000-846
hooker,occ2000-846
hooker machine tender,occ2000-846
hosiery mater,occ2000-846
hosiery pairer,occ2000-846
hot frame tender,occ2000-846
hydraulic blocker,occ2000-846
impregnator,occ2000-846
inker ,occ2000-846
jack machine operator,occ2000-846
jacker,occ2000-846
jacquard card cutter,occ2000-846
jacquard plate maker,occ2000-846
jacquard twine polisher operator,occ2000-846
kapok machine operator,occ2000-846
kettle hand,occ2000-846
kettler,occ2000-846
kicking machine operator,occ2000-846
knife finisher,occ2000-846
knife machine operator,occ2000-846
knit goods washer,occ2000-846
lace finisher,occ2000-846
hand lacer,occ2000-846
laceworker,occ2000-846
laminating machine operator,occ2000-846
laminator ,occ2000-846
lamp shade maker,occ2000-846
lap layer,occ2000-846
lap maker,occ2000-846
lap runner,occ2000-846
lapper ,occ2000-846
layout worker ,occ2000-846
lease picker,occ2000-846
leasing machine tender,occ2000-846
lime boiler,occ2000-846
lusterer,occ2000-846
lye boiler,occ2000-846
mangle tender,occ2000-846
marking machine operator,occ2000-846
matcher,occ2000-846
mater,occ2000-846
material spreader,occ2000-846
measuring machine operator,occ2000-846
mellowing machine operator,occ2000-846
mercerizer,occ2000-846
mercerizer machine operator,occ2000-846
middle card tender,occ2000-846
mill turner,occ2000-846
milliner,occ2000-846
millinery copyist,occ2000-846
millinery worker,occ2000-846
mixing picker tender,occ2000-846
napper,occ2000-846
napper fixer,occ2000-846
napper runner,occ2000-846
napper tender,occ2000-846
napping machine operator,occ2000-846
needle control cheniller,occ2000-846
needle felt making machine operator,occ2000-846
needle loom operator,occ2000-846
needle loom setter,occ2000-846
needle loom tender,occ2000-846
needle punch operator,occ2000-846
net maker,occ2000-846
neutralizer,occ2000-846
nub card tender,occ2000-846
open developer operator,occ2000-846
open soaper tender,occ2000-846
opener tender,occ2000-846
pad extraction tender,occ2000-846
pad extractor tender,occ2000-846
pad machine operator,occ2000-846
pad maker,occ2000-846
pad making machine operator,occ2000-846
padder,occ2000-846
padding machine operator,occ2000-846
pairer,occ2000-846
panelboard operator,occ2000-846
patch washer,occ2000-846
pattern chain builder,occ2000-846
pattern changer,occ2000-846
pattern stamper,occ2000-846
percher,occ2000-846
perforating machine operator,occ2000-846
pick out hand,occ2000-846
pick pulling machine tender,occ2000-846
picker ,occ2000-846
picker operator,occ2000-846
picker tender,occ2000-846
hand picker,occ2000-846
pickling machine operator,occ2000-846
piecer,occ2000-846
piler,occ2000-846
pin drafter,occ2000-846
pin drafter operator,occ2000-846
pin drafting machine operator,occ2000-846
pin drafting machine tender,occ2000-846
pin machine operator,occ2000-846
piper,occ2000-846
plush brusher,occ2000-846
plush dresser,occ2000-846
plush finisher,occ2000-846
pointer,occ2000-846
pouncer,occ2000-846
pouncing lathe operator,occ2000-846
preboarder,occ2000-846
preparing box tender,occ2000-846
process operator,occ2000-846
processor ,occ2000-846
puller,occ2000-846
punch box tender,occ2000-846
quill layer,occ2000-846
rail filler,occ2000-846
rail setter,occ2000-846
railway head tender,occ2000-846
range feeder,occ2000-846
raveler,occ2000-846
reacher,occ2000-846
reed fixer,occ2000-846
reed maker,occ2000-846
reel stripper,occ2000-846
reeling machine operator,occ2000-846
carpet repairer,occ2000-846
oriental rug repairer,occ2000-846
rug repairer,occ2000-846
reweaver,occ2000-846
ribbon blockmaker,occ2000-846
ribbon lapper tender,occ2000-846
rider ticket worker,occ2000-846
rippler,occ2000-846
roll coverer,occ2000-846
roll press operator,occ2000-846
roll turner,occ2000-846
roller coverer,occ2000-846
roller machine operator,occ2000-846
roller operator,occ2000-846
roller painter,occ2000-846
roller setter,occ2000-846
roller turner,occ2000-846
roller varnisher,occ2000-846
room worker,occ2000-846
rope maker,occ2000-846
rope silica machine operator,occ2000-846
rover,occ2000-846
rover tender,occ2000-846
roving can tender,occ2000-846
roving marker,occ2000-846
rug cleaner,occ2000-846
runner on,occ2000-846
sail lay out worker,occ2000-846
sail maker,occ2000-846
sampler ,occ2000-846
sanforizer,occ2000-846
sanforizing machine operator,occ2000-846
scouring machine tender,occ2000-846
textile screen maker,occ2000-846
scutcher,occ2000-846
scutcher tender,occ2000-846
second baller,occ2000-846
second hand,occ2000-846
second time worker,occ2000-846
setter out,occ2000-846
shade maker,occ2000-846
shaker,occ2000-846
shell worker,occ2000-846
shoddy mill worker,occ2000-846
shuttle filler,occ2000-846
silk hanger,occ2000-846
silk snapper,occ2000-846
silk soaker,occ2000-846
silk spreader,occ2000-846
silk worker,occ2000-846
singe machine operator,occ2000-846
size roller operator,occ2000-846
size worker,occ2000-846
sizer ,occ2000-846
hand sizer,occ2000-846
skein bander,occ2000-846
skein drier,occ2000-846
skein straightener,occ2000-846
skein tier,occ2000-846
skein yard drier,occ2000-846
skin drier,occ2000-846
slash trimmer,occ2000-846
slasher,occ2000-846
slasher hand,occ2000-846
slasher machine operator,occ2000-846
slasher operator,occ2000-846
slasher runner,occ2000-846
slasher tender,occ2000-846
sliver lap tender,occ2000-846
sliver lapper,occ2000-846
snagger,occ2000-846
soaker,occ2000-846
soaking tank worker,occ2000-846
soap boiler,occ2000-846
soap mixer,occ2000-846
soap tender,occ2000-846
soaper,occ2000-846
sock boarder,occ2000-846
sock turner,occ2000-846
soft boarder,occ2000-846
softener,occ2000-846
sourer,occ2000-846
spanner,occ2000-846
spare hand,occ2000-846
speck dyer,occ2000-846
specker,occ2000-846
spindle setter,occ2000-846
splicing machine operator,occ2000-846
sponger,occ2000-846
spool cleaner,occ2000-846
spool fixer,occ2000-846
spot cleaner,occ2000-846
spray machine operator,occ2000-846
sprinkler tender,occ2000-846
starcher ,occ2000-846
starter,occ2000-846
stayer,occ2000-846
steam drier tender,occ2000-846
steam finisher,occ2000-846
steam gigger,occ2000-846
steamer,occ2000-846
steamer tender,occ2000-846
steel turner,occ2000-846
steeler,occ2000-846
stoner ,occ2000-846
stoner out,occ2000-846
strike out machine operator,occ2000-846
striker out,occ2000-846
stripper ,occ2000-846
sumac tanner,occ2000-846
swatch folder,occ2000-846
swatch maker,occ2000-846
swatcher,occ2000-846
sweat band separator,occ2000-846
tabber,occ2000-846
tailing hand,occ2000-846
tangled yarn worker,occ2000-846
tarring machine operator,occ2000-846
tassel maker,occ2000-846
tassel making machine operator,occ2000-846
tawer,occ2000-846
teasel gig operator,occ2000-846
teasel setter,occ2000-846
teaseler,occ2000-846
temperer,occ2000-846
tenter,occ2000-846
tenter feeder,occ2000-846
tenter frame operator,occ2000-846
tenterer,occ2000-846
tentering machine feeder,occ2000-846
tentmaker,occ2000-846
textile machine operator,occ2000-846
textile pin worker,occ2000-846
textile worker,occ2000-846
third hand,occ2000-846
throwster,occ2000-846
tieing machine operator,occ2000-846
tier over,occ2000-846
tiger machine operator,occ2000-846
tin whiz machine operator,occ2000-846
tinner,occ2000-846
tip stretcher,occ2000-846
towel folder,occ2000-846
towel stretcher,occ2000-846
traveler changer,occ2000-846
trimmer ,occ2000-846
tube coverer,occ2000-846
tuft machine operator,occ2000-846
tufter,occ2000-846
tufting machine operator,occ2000-846
turner off,occ2000-846
umbrella finisher,occ2000-846
vacuum drier operator,occ2000-846
vacuum drier tender,occ2000-846
vacuum tank tender,occ2000-846
washer ,occ2000-846
waste machine tender,occ2000-846
waste picker,occ2000-846
waste reclaimer,occ2000-846
watcher,occ2000-846
weaver ,occ2000-846
weigh box tender,occ2000-846
weighter,occ2000-846
welt drawer,occ2000-846
wet silk hanger,occ2000-846
wet wheeler,occ2000-846
wheel blocker,occ2000-846
white sourer,occ2000-846
whiting can worker,occ2000-846
whizzer hand,occ2000-846
whizzer operator,occ2000-846
wire dropper,occ2000-846
wool carder,occ2000-846
wool cleaner,occ2000-846
wool hanker,occ2000-846
wool mixer,occ2000-846
wool scourer,occ2000-846
wringer,occ2000-846
yarder,occ2000-846
yarn conditioner,occ2000-846
yarn finisher,occ2000-846
yarn mercerizer operator,occ2000-846
yarn polishing machine operator,occ2000-846
yarn sizer,occ2000-846
yarn sorter,occ2000-846
yarn washer,occ2000-846
alteration worker,occ2000-850
woodworking bench carpenter,occ2000-850
cabinet worker,occ2000-850
cabinetmaker,occ2000-850
chair maker,occ2000-850
chair mender,occ2000-850
furniture maker,occ2000-850
inlayer,occ2000-850
woodworking machinist,occ2000-850
marquetry worker,occ2000-850
chair mechanic,occ2000-850
wood mechanist,occ2000-850
antique repairer,occ2000-850
antique furniture repairer,occ2000-850
wood machinist,occ2000-850
woodworker,occ2000-850
antique finisher,occ2000-851
antique refinisher,occ2000-851
antiquer,occ2000-851
furniture finisher apprentice,occ2000-851
chair finisher,occ2000-851
wood coater,occ2000-851
finish patcher,occ2000-851
finisher ,occ2000-851
furniture finisher,occ2000-851
furniture polisher,occ2000-851
furniture refinisher,occ2000-851
furniture sander,occ2000-851
grainer ,occ2000-851
machine grainer,occ2000-851
hardwood finisher,occ2000-851
piano refinisher,occ2000-851
wooden furniture polisher,occ2000-851
recoater,occ2000-851
refinisher,occ2000-851
television cabinet finisher,occ2000-851
varnish finisher,occ2000-851
wood cabinet finisher,occ2000-851
wood filler,occ2000-851
wood finisher,occ2000-851
wood grainer,occ2000-851
wood polisher,occ2000-851
loft worker apprentice,occ2000-852
jig builder,occ2000-852
wood last maker,occ2000-852
last model maker,occ2000-852
wood model builder,occ2000-852
model maker ,occ2000-852
wood model maker,occ2000-852
mold forms builder,occ2000-852
pattern worker,occ2000-852
patternmaker ,occ2000-852
wood patternmaker,occ2000-852
wood die maker,occ2000-852
wood model maker,occ2000-852
wood patternmaker,occ2000-852
automatic log cut off sawyer,occ2000-853
band saw operator,occ2000-853
band saw runner,occ2000-853
band sawyer,occ2000-853
band scroll saw operator,occ2000-853
bead cutter,occ2000-853
beading sawyer,occ2000-853
bill cutter,occ2000-853
billet cutter,occ2000-853
block bolter mule operator,occ2000-853
block cutter,occ2000-853
block saw operator,occ2000-853
block sawyer,occ2000-853
board saw runner,occ2000-853
bolt machine operator,occ2000-853
bolt maker,occ2000-853
bolter,occ2000-853
bottom saw operator,occ2000-853
butting saw operator,occ2000-853
button sawyer,occ2000-853
buzzsaw operator,occ2000-853
casey saw operator,occ2000-853
chain saw driver,occ2000-853
chucking and sawing machine operator,occ2000-853
circle cutting saw operator,occ2000-853
circle saw operator,occ2000-853
circular head saw operator,occ2000-853
clipper machine operator,occ2000-853
clipper operator,occ2000-853
cob sawyer,occ2000-853
coping machine operator,occ2000-853
cordwood cutter,occ2000-853
corner former,occ2000-853
corner trimmer operator,occ2000-853
cross cut saw operator,occ2000-853
crosscutter,occ2000-853
crozer,occ2000-853
crozer operator,occ2000-853
cut off saw operator,occ2000-853
cut off sawyer,occ2000-853
cut off worker,occ2000-853
cutter ,occ2000-853
defect cutter,occ2000-853
dimension mill worker,occ2000-853
door cutter,occ2000-853
dowel pointer,occ2000-853
drag sawyer,occ2000-853
dragsaw operator,occ2000-853
drum saw operator,occ2000-853
edge runner,occ2000-853
edge sawyer,occ2000-853
edger,occ2000-853
edger feeder,occ2000-853
edger operator,occ2000-853
edger runner,occ2000-853
edger saw operator,occ2000-853
edging catcher,occ2000-853
edging machine operator,occ2000-853
equalizer,occ2000-853
equalizer operator,occ2000-853
gang head saw operator,occ2000-853
gang saw operator,occ2000-853
wood gang sawyer,occ2000-853
head sawyer,occ2000-853
heading up machine operator,occ2000-853
hewer,occ2000-853
hoop cutter,occ2000-853
jigsaw operator,occ2000-853
jigsawyer,occ2000-853
kerfer machine operator,occ2000-853
knee bolter,occ2000-853
knife setter,occ2000-853
knot cutter,occ2000-853
lather,occ2000-853
lathmaker,occ2000-853
log chipper,occ2000-853
log cut off sawyer,occ2000-853
log sawyer,occ2000-853
lumber planer,occ2000-853
lumber trimmer,occ2000-853
matcher operator,occ2000-853
matching machine operator,occ2000-853
miller ,occ2000-853
mine wedge sawyer,occ2000-853
miter operator,occ2000-853
miter saw operator,occ2000-853
miter sawyer,occ2000-853
mitering machine operator,occ2000-853
plug saw operator,occ2000-853
pond sawyer,occ2000-853
pony edger,occ2000-853
pony trimmer,occ2000-853
portable sawmill operator,occ2000-853
power wood sawyer,occ2000-853
prop cutter,occ2000-853
prop sawyer,occ2000-853
radial arm saw operator,occ2000-853
radial saw operator,occ2000-853
ratchet setter,occ2000-853
resaw carriage operator,occ2000-853
resaw operator,occ2000-853
resawyer,occ2000-853
resizer operator,occ2000-853
rip and groove machine operator,occ2000-853
rip saw operator,occ2000-853
rip sawyer,occ2000-853
ripper,occ2000-853
saw operator,occ2000-853
saw runner,occ2000-853
sawing machine operator,occ2000-853
sawmill hand,occ2000-853
sawmill worker,occ2000-853
sawyer,occ2000-853
shake cutter,occ2000-853
shake maker,occ2000-853
shake sawyer,occ2000-853
shake splitter,occ2000-853
shim plug cutter,occ2000-853
shingle cutter,occ2000-853
shingle sawyer,occ2000-853
shingle trimmer,occ2000-853
side sawyer,occ2000-853
slasher,occ2000-853
slasher operator,occ2000-853
splitter,occ2000-853
stave and bolt equalizer,occ2000-853
stave bolt equalizer,occ2000-853
stave cutter,occ2000-853
stave hewer,occ2000-853
stave saw operator,occ2000-853
stile ripsaw operator,occ2000-853
stock cutter,occ2000-853
swing saw operator,occ2000-853
tail edger,occ2000-853
tail sawyer,occ2000-853
tail trimmer,occ2000-853
tenon machine operator,occ2000-853
tenoner operator,occ2000-853
tie sawyer,occ2000-853
timber cutter,occ2000-853
timber trimmer,occ2000-853
trim saw operator,occ2000-853
trim sawyer,occ2000-853
trimmer ,occ2000-853
trimmer machine operator,occ2000-853
trimming machine operator,occ2000-853
turning machine operator,occ2000-853
unisaw operator,occ2000-853
veneer clipper,occ2000-853
veneer cutter,occ2000-853
veneer sawyer,occ2000-853
whip sawyer,occ2000-853
wood cutter,occ2000-853
wood sawyer,occ2000-853
wood type cutter,occ2000-853
adzing and boring machine operator,occ2000-854
artificial log machine operator,occ2000-854
balloon sander,occ2000-854
band nailer,occ2000-854
bander ,occ2000-854
barker operator,occ2000-854
barrel builder,occ2000-854
barrel charrer,occ2000-854
barrel lathe operator,occ2000-854
barrel maker,occ2000-854
woodworking belt sander,occ2000-854
bender machine operator,occ2000-854
bending frame operator,occ2000-854
blind slat stapling machine operator,occ2000-854
board finisher,occ2000-854
borer,occ2000-854
boring machine operator,occ2000-854
bottom turning lathe turner,occ2000-854
bowl turner,occ2000-854
box blank machine operator,occ2000-854
box stapler,occ2000-854
briar cutter,occ2000-854
bucker,occ2000-854
bucket chucker,occ2000-854
bucket turner,occ2000-854
chip machine operator,occ2000-854
chip mixing machine operator,occ2000-854
chipper,occ2000-854
chipper machine operator,occ2000-854
chucking and boring machine operator,occ2000-854
chucking machine operator,occ2000-854
chucking machine set up operator,occ2000-854
cleat blanker,occ2000-854
cleat maker,occ2000-854
cleater,occ2000-854
wood coat hanger shaper machine operator,occ2000-854
copy lathe tender,occ2000-854
core composer feeder,occ2000-854
core layer machine operator,occ2000-854
cork grinder,occ2000-854
cork molder,occ2000-854
corrugated fastener driver,occ2000-854
corrugator,occ2000-854
cylinder sander operator,occ2000-854
dado operator,occ2000-854
dolly operator,occ2000-854
dollyman,occ2000-854
door clamper,occ2000-854
dovetail machine operator,occ2000-854
dovetailer,occ2000-854
dowel inserting machine operator,occ2000-854
dowel machine operator,occ2000-854
dowel maker,occ2000-854
doweler,occ2000-854
wood drill operator,occ2000-854
wood drilling machine operator,occ2000-854
embossing machine operator,occ2000-854
end frazer,occ2000-854
end matcher,occ2000-854
end stapler,occ2000-854
end touching machine operator,occ2000-854
creosoting engineer,occ2000-854
retort engineer,occ2000-854
treating engineer,occ2000-854
excelsior machine operator,occ2000-854
fastener,occ2000-854
flake cutter operator,occ2000-854
flooring machine operator,occ2000-854
frame polisher,occ2000-854
frame table operator,occ2000-854
framer,occ2000-854
frazer,occ2000-854
wood gouger,occ2000-854
header,occ2000-854
heading machine operator,occ2000-854
heading pinner,occ2000-854
heel nailing machine operator,occ2000-854
hinging machine operator,occ2000-854
hoop expander,occ2000-854
hoop machine operator,occ2000-854
hoop maker,occ2000-854
hoop riveter,occ2000-854
hooper,occ2000-854
impregnator,occ2000-854
incising machine operator,occ2000-854
inletter,occ2000-854
jointer machine operator,occ2000-854
jointer operator,occ2000-854
laminating machine operator,occ2000-854
laminator ,occ2000-854
lap machine operator,occ2000-854
lapper ,occ2000-854
last scourer,occ2000-854
last turner,occ2000-854
lathe sander,occ2000-854
lathe set up operator,occ2000-854
lathe spotter,occ2000-854
linderman,occ2000-854
linderman machine operator,occ2000-854
linderman operator,occ2000-854
line tender,occ2000-854
lock corner machine operator,occ2000-854
log cooker,occ2000-854
lumber press operator,occ2000-854
lumber tripper,occ2000-854
wood machine carver,occ2000-854
machine setter,occ2000-854
miller ,occ2000-854
wood miller,occ2000-854
wood milling machine hand,occ2000-854
wood milling machine operator,occ2000-854
wood milling machine tender,occ2000-854
molder feeder,occ2000-854
molder operator,occ2000-854
molding sander,occ2000-854
mortising machine operator,occ2000-854
multiple drum sander,occ2000-854
nail kegger,occ2000-854
nail setter,occ2000-854
nail sticker,occ2000-854
nailer ,occ2000-854
nailer operator,occ2000-854
nailhead operator,occ2000-854
nailhead setter,occ2000-854
nailing machine operator,occ2000-854
pipe and tank fabricator,occ2000-854
planer ,occ2000-854
planer operator,occ2000-854
planer setup operator,occ2000-854
planer type milling machine setup operator,occ2000-854
planing machine operator,occ2000-854
plow and boring machine tender,occ2000-854
plug machine operator,occ2000-854
plugging machine operator,occ2000-854
plywood scarfer tender,occ2000-854
pole peeling machine operator,occ2000-854
power barker,occ2000-854
power barker operator,occ2000-854
power bender operator,occ2000-854
doors prefitter,occ2000-854
profile shaper operator,occ2000-854
putty worker,occ2000-854
rabbet operator,occ2000-854
rafter cutting machine operator,occ2000-854
rail bender,occ2000-854
roof truss builder,occ2000-854
roof truss machine tender,occ2000-854
wood router hand,occ2000-854
router operator ,occ2000-854
wood router,occ2000-854
sander ,occ2000-854
sanding machine buffer,occ2000-854
sanding machine operator or tender,occ2000-854
scooping machine tender,occ2000-854
set up worker,occ2000-854
setter up,occ2000-854
shake backboard notcher,occ2000-854
shaper operator,occ2000-854
shook machine operator,occ2000-854
shuttle spotter,occ2000-854
skiver,occ2000-854
skiving machine operator,occ2000-854
skoog machine operator,occ2000-854
skoog operator,occ2000-854
skoog patching machine operator,occ2000-854
slab tripper,occ2000-854
slat basket maker,occ2000-854
slicing machine operator/tender,occ2000-854
spar machine operator,occ2000-854
speed belt sander,occ2000-854
spindle carver,occ2000-854
splicer operator,occ2000-854
splitter tender,occ2000-854
splitting machine operator,occ2000-854
squeezer,occ2000-854
stacker tender,occ2000-854
stapler ,occ2000-854
stapling machine operator,occ2000-854
stave jointer,occ2000-854
stave machine tender,occ2000-854
steam box operator,occ2000-854
stemhole borer,occ2000-854
stroke belt sander operator,occ2000-854
swing type lathe operator,occ2000-854
timber sizer,occ2000-854
tongue and groove machine operator,occ2000-854
trimmer and borer machine operator,occ2000-854
truss builder,occ2000-854
