term,code(s)
sheet metal worker,804
roofers,"804, 866"
roofer,"804, 866"
auto body repairers,"807, 845"
auto body repairer,"807, 845"
welders,"810–812, 819"
welder,"810–812, 819"
cable television technicians,821
cable television technician,821
electric power transmission and distribution workers,"821, 829, 952"
electric power transmission and distribution worker,"821, 829, 952"
railroad signalers and signal maintainers,822
railroad signalers and signal maintainer,822
telephone central office supervisors,822
telephone central office supervisor,822
telephone central office technicians,822
telephone central office technician,822
telephone service technicians,822
telephone service technician,822
telephone line workers and cable splicers,"822, 829"
telephone line workers and cable splicer,"822, 829"
avionics technicians,823
avionics technician,823
wireless communications technicians,"823, 828"
wireless communications technician,"823, 828"
construction electricians,"824, 829"
construction electrician,"824, 829"
maintenance electricians,"824, 829"
maintenance electrician,"824, 829"
elevator constructors and repair workers,825
elevator constructors and repair worker,825
painters and paperhangers,840–841
painters and paperhanger,840–841
drywall installers and finishers,842
drywall installers and finisher,842
lathers,842
lather,842
plasterers,842
plasterer,842
cement masons,"844, 869"
cement mason,"844, 869"
septic tank installers,851
septic tank installer,851
heavy equipment operators,859
