fn,clause
Indobit-A-NYT1986_1501-1568-6.txt, once described as ''the loneliest woman in America
Indobit-A-NYT1982_1001-1500-409.txt, the top religious official of the Ashkenazic Jews in Jerusalem
Indobit-A-NYT1985 - Oct 1 - Dec 31-30.txt,
Indobit-A-NYT1985 - Jan 1 - March 31-186.txt,
Indobit-A-NYT1984_1001-1500-364.txt, an eight- term Congressman from Ohio who was one of the earliest and most persistent Republican Congressional critics of American involvement in the Vietnam War
Indobit-A-NYT1985 - Oct 1 - Dec 31-323.txt, one of the two remaining members of the 1920 world champion Cleveland Indians
Indobit-A-NYT1982_1-500-95.txt,
Indobit-A-NYT1985 - Oct 1 - Dec 31-345.txt, Gen. Istvan Olah
Indobit-A-NYT1981 - July 1 - Sep 30-96.txt, one of Bulgaria's most powerful political figures
Indobit-A-NYT1984_501-1000-338.txt, a Republican who had represented Burlington County since 1981
Indobit-A-NYT1981 - Oct 1 - Dec 31-55.txt, a pioneer in the field of motivation research and marketing techniques
Indobit-A-NYT1981 - April 1 - June 30-202.txt, a retired officer of the IU International Corporation
Indobit-A-NYT1986_1-500-122.txt,
Indobit-A-NYT1983 - July 1 - Sep 30-166.txt, a retired New York City banker
Indobit-A-NYT1984_1001-1500-441.txt, a pioneer in the study of human fertility who helped develop the birth control pill
Indobit-A-NYT1984_1-500-92.txt,
Indobit-A-NYT1983 - Jan 1 - March 31-277.txt, costar of the recently canceled ABC-TV series ''The Quest
Indobit-A-NYT1985 - Oct 1 - Dec 31-259.txt, a residential and industrial builder
Indobit-A-NYT1982_1-500-105.txt, a former Suffolk County Democratic leader in the 1960's and Huntington town leader
Indobit-A-NYT1987 - April 1 - June 30-218.txt, a real-estate developer
Indobit-A-NYT1985 - July 1 - Sep 30-334.txt, a former Republican Congressman from Illinois who headed the House Un-American Activities Committee in the 1950's
Indobit-A-NYT1980_1-500-362.txt," a Long Island labor leader who built up the public-employees union in Nassau County from fewer than 100 members in 1950 to more than 30,000"
Indobit-A-NYT1982_501-1000-417.txt, an internationally known interior decorator
Indobit-A-NYT1985 - Oct 1 - Dec 31-297.txt," Loris Fortuna, who defied the Vatican by proposing and seeing through Italy's divorce law and sponsoring legislation making some abortions legal "
Indobit-A-NYT1981 - April 1 - June 30-232.txt, a world-renowned gynecologist who served 10 years as head of state
Indobit-A-NYT1982_1001-1500-368.txt,
Indobit-A-NYT1983 - April 1 - June 30-152.txt," who represented Long Beach, L.I., on the Nassau County Board of Supervisors for 14 years"
Indobit-A-NYT1980_1-500-101.txt, long active in civic affairs here
Indobit-A-NYT1982_1-500-196.txt, master of one of the great American fortunes and a pace-setting leader in a kaleidoscope of fields
Indobit-A-NYT1981 - Oct 1 - Dec 31-332.txt, a former coordinator of student guidance counseling for the New York City Board of Education
Indobit-A-NYT1983 - April 1 - June 30-210.txt, one of the owners of the leather goods firm that bears the family name
Indobit-A-NYT1984_1-500-313.txt,
Indobit-A-NYT1981 - Jan 1 - March 31-427.txt, a Sicilian immigrant who became one of the foremost labor organizers in New England
Indobit-A-NYT1986_1-500-326.txt,
Indobit-A-NYT1983 - Oct 1 - Dec 31-208.txt," who helped develop the triple vaccination given children against diphtheria, tetanus and pertussis, or whooping cough"
Indobit-A-NYT1982_1001-1500-107.txt, battled his way to the top of the Phalangist Party - the most powerful of the warring
Indobit-A-NYT1985 - April 1 - June 30-205.txt," Adolph Green recalled, was full of ''energy, humanity, confidence, insecurity, humor"
Indobit-A-NYT1981 - April 1 - June 30-100.txt, a real-estate operator whose family-owned concern
Indobit-A-NYT1985 - Oct 1 - Dec 31-99.txt, a veteran of the Long March who held top Chinese military posts for a quarter of a century
Indobit-A-NYT1981 - April 1 - June 30-360.txt, who was active in civic and charitable work in New York City and Philadelphia
Indobit-A-NYT1982_1001-1500-239.txt, an authority on Stephen Crane
Indobit-A-NYT1984_1001-1500-356.txt, retired
Indobit-A-NYT1984_1-500-199.txt," whose family's feud with the Hatfield clan became an American legend, was buried today in the family cemetery at Burnwell"
Indobit-A-NYT1982_501-1000-380.txt, carrying a camera crew
Indobit-A-NYT1981 - April 1 - June 30-263.txt, an expert in dental research and radiography
Indobit-A-NYT1982_501-1000-316.txt, the headmaster of the Albany Academy for 28 years until his retirement in 1971
Indobit-A-NYT1984_501-1000-149.txt,
Indobit-A-NYT1981 - Oct 1 - Dec 31-351.txt, the harpsichordist
Indobit-A-NYT1981 - Jan 1 - March 31-311.txt, a geneticist who was known as the ''father of the hybrid onion
Indobit-A-NYT1982_1-500-47.txt, a 60-year-old woman who is not licensed as a pilot
Indobit-A-NYT1982_1-500-451.txt,
Indobit-A-NYT1982_1-500-467.txt, whose preaching to Hollywood street people in 1968 led to establishment of the nationally known Tony and Susan Alamo Christian Foundation
Indobit-A-NYT1986_501-1000-471.txt, an allergist in private practice in Manhattan for more than 40 years
Indobit-A-NYT1986_1-500-334.txt, a pioneer in corneal transplants who developed a method of preserving eye tissue
Indobit-A-NYT1981 - Jan 1 - March 31-100.txt, who served half a century in the House of Representatives
Indobit-A-NYT1982_501-1000-100.txt,
Indobit-A-NYT1982_1001-1500-209.txt, an Olympic athlete and Labor Party stalwart who won the Nobel Peace Prize in 1959
Indobit-A-NYT1985 - Oct 1 - Dec 31-313.txt, a leader in the study of cancer and aging
Indobit-A-NYT1983 - April 1 - June 30-89.txt, a gardener when he inherited the title in 1963
Indobit-A-NYT1983 - Jan 1 - March 31-169.txt, a certified public accountant
Indobit-A-NYT1986_1001-1500-455.txt, an umpire for 25 seasons in the National League
Indobit-A-NYT1981 - Oct 1 - Dec 31-168.txt," who restored Cypress Gardens, a plantation near Charleston, S.C., that he gave to the city in 1964"
Indobit-A-NYT1982_501-1000-265.txt, who was an active supporter of labor as a Democratic Congressman from Michigan from the mid-1930's to the 1940's
Indobit-A-NYT1984_1001-1500-133.txt, Dilcy Hawkins
Indobit-A-NYT1984_1001-1500-252.txt," a longtime literary agent who represented Thornton Wilder, John Dos Passos, Vincent Sheehan and Marcia Davenport"
Indobit-A-NYT1982_1001-1500-188.txt, an internationally known Hindu religious leader
Indobit-A-NYT1982_1001-1500-450.txt,
Indobit-A-NYT1984_1001-1500-274.txt, for many years head of public information for the National Transportation Safety Board
Indobit-A-NYT1987 - Jan 1 - March 31-239.txt,
Indobit-A-NYT1984_1-500-27.txt," financier, philanthropist and advocate of better municipal health services"
Indobit-A-NYT1982_501-1000-243.txt, a recluse whose avant-garde literary work won wide acclaim in the 1920's and 30's
Indobit-A-NYT1987 - April 1 - June 30-39.txt,
Indobit-A-NYT1980_501-904-19.txt," who was treasurer in the mid-1950's of the National Infantile Paralysis Foundation, now known as the March of Dimes"
Indobit-A-NYT1981 - Oct 1 - Dec 31-73.txt, for many years one of the world's largest independent oil operators
Indobit-A-NYT1986_1001-1500-229.txt, a former New York City Councilman
Indobit-A-NYT1983 - April 1 - June 30-26.txt, the starting catcher for the Chicago Cubs in the 1945 World Series
Indobit-A-NYT1981 - July 1 - Sep 30-93.txt,
Indobit-A-NYT1984_1001-1500-376.txt, a retired Boston banker and civic leader
Indobit-A-NYT1985 - Oct 1 - Dec 31-55.txt, a Republican leader in New Jersey in the 1940's and 50's
Indobit-A-NYT1981 - April 1 - June 30-317.txt,
Indobit-A-NYT1986_1001-1500-427.txt, a real-estate developer in the Yorkville section of Manhattan and a leader of the Greek community in New York
Indobit-A-NYT1984_501-1000-92.txt, the doorman at the White House
Indobit-A-NYT1980_1-500-39.txt, the doyenne of British cooking writers
Indobit-A-NYT1984_1001-1500-67.txt, who was active in Jewish social service and philanthropic organizations
Indobit-A-NYT1981 - Jan 1 - March 31-347.txt, a retired agent of the Secret Service who served under five Presidents
Indobit-A-NYT1987 - April 1 - June 30-278.txt,
Indobit-A-NYT1986_501-1000-15.txt,
Indobit-A-NYT1985 - Jan 1 - March 31-288.txt, an internationally known Soviet astrophysicist and early champion of the search for intelligent extraterrestrial life
Indobit-A-NYT1985 - July 1 - Sep 30-34.txt, an advocate for the blind
Indobit-A-NYT1982_1-500-402.txt," who with her husband, Jacques, built the Taylor Maid Service into one of the largest residential cleaning businesses in New York City"
Indobit-A-NYT1981 - Oct 1 - Dec 31-304.txt," a former agent with the Federal Bureau of Investigation, who was head of the bureau'S New York division from 1958 to 1962"
Indobit-A-NYT1986_1-500-264.txt," the ''100 percent Republican,'' as he called himself, who served as both the majority and the minority leader of the House of Representatives in a 34-year political career"
Indobit-A-NYT1984_501-1000-111.txt, who won 19 games for the Cincinnati Reds in 1941 and 21 two years later
Indobit-A-NYT1987 - April 1 - June 30-174.txt," Vt., May 10 The Abenaki Tribal Nation will hold elections later this year to name a successor to Leonard Lampman Sr."
Indobit-A-NYT1986_501-1000-142.txt, a senior human resource officer of Citicorp
Indobit-A-NYT1985 - April 1 - June 30-327.txt, former head of the Teachers Insurance and Annuity Association
Indobit-A-NYT1983 - April 1 - June 30-313.txt, the majority leader of the Rockalnd County Legislature since 1981
Indobit-A-NYT1983 - July 1 - Sep 30-132.txt, a public relations specialist who worked in political campaigns for two Senators from New Jersey and for Hubert H. Humphrey
Indobit-A-NYT1985 - Jan 1 - March 31-232.txt, head of the leprosy section of the Federal Centers for Disease Control and an internationally known expert on leprosy
Indobit-A-NYT1981 - July 1 - Sep 30-21.txt, one of seven younger Soviet writers whose efforts to form an experimental literary workshop led to a series of clashes with the authorities last year
Indobit-A-NYT1985 - April 1 - June 30-46.txt,
Indobit-A-NYT1982_1001-1500-260.txt, a member of the French banking family and a leader of the French Jewish community
Indobit-A-NYT1981 - Jan 1 - March 31-287.txt," who designed gowns for debutantes and society brides, including the gown Jacqueline Bouvier wore when she married Senator John F. Kennedy"
Indobit-A-NYT1985 - Jan 1 - March 31-309.txt, an Assemblyman from Brooklyn for 22 years and a leader in promoting laws against discrimination
Indobit-A-NYT1985 - Jan 1 - March 31-205.txt, an authority on exotic mammals and a world leader in conservation efforts
Indobit-A-NYT1983 - July 1 - Sep 30-376.txt,
Indobit-A-NYT1986_1001-1500-315.txt, a member of the corporate legal staff of the International Business Machines Corporation
Indobit-A-NYT1981 - Oct 1 - Dec 31-123.txt, a retired official of the World Association of Girl Guides and Girl Scouts
Indobit-A-NYT1986_1001-1500-92.txt, long a prominent member of New York society
Indobit-A-NYT1980_1-500-112.txt," Moran More Ignatius Yacoub III, Patriarch of Antioch"
Indobit-A-NYT1985 - Oct 1 - Dec 31-195.txt," a philanthropist whose husband, William J. Rosenwald, was one of the founders of the United Jewish Appeal"
Indobit-A-NYT1987 - Jan 1 - March 31-328.txt, the target of one of the best-known and shortest one-liners in American comedy
Indobit-A-NYT1981 - July 1 - Sep 30-389.txt, an outstanding amateur golfer in the metropolitan area early in this century
Indobit-A-NYT1987 - April 1 - June 30-389.txt, the mother of a socialite whose death was dramatized in the Tommy Thompson best seller ''Blood and Money
Indobit-A-NYT1981 - Jan 1 - March 31-19.txt," who was trying to get her 17-year-old nephew, Aleksandr Landsman"
Indobit-A-NYT1981 - July 1 - Sep 30-53.txt, former head of the New York Province of the Society of Jesus
Indobit-A-NYT1981 - April 1 - June 30-10.txt, who was one of the world's foremost aeronautics experts
Indobit-A-NYT1981 - July 1 - Sep 30-383.txt,
Indobit-A-NYT1985 - Jan 1 - March 31-274.txt,
Indobit-A-NYT1982_1001-1500-293.txt, a top-ranked polo player who was an international champion in the 1930's
Indobit-A-NYT1981 - Jan 1 - March 31-265.txt,
Indobit-A-NYT1983 - April 1 - June 30-403.txt, a former member of the House of Representatives who experienced brief national fame as Barry Goldwater's Republican running mate in the 1964 Presidential race
Indobit-A-NYT1986_501-1000-466.txt, a former Republican district leader in Manhattan and an authority on international trade and development
Indobit-A-NYT1984_1001-1500-349.txt, a retired Wall Street broker and a decorated veteran of World War I
Indobit-A-NYT1986_1001-1500-447.txt, a flamboyant Californian who helped start the nation's tax revolt of the late 1970's
Indobit-A-NYT1985 - April 1 - June 30-108.txt,
Indobit-A-NYT1980_1-500-307.txt, the brilliant computer student whose monthlong disappearance last year still baffles official investigators
Indobit-A-NYT1982_1001-1500-273.txt, an endocrinologist credited with pioneering studies on the effects of stress on the human body
Indobit-A-NYT1981 - April 1 - June 30-30.txt, a skywriter and former operator of air taxis
Indobit-A-NYT1986_1-500-216.txt, retired head of the department of preventive medicine at the Harvard Medical School
Indobit-A-NYT1984_501-1000-49.txt," 75,Space Industry Leader ST. LOUIS, May 4 (UPI) - Walter F. Burke, who led the Mercury and Gemini space programs at the McDonnell Douglas Corporation"
Indobit-A-NYT1981 - July 1 - Sep 30-129.txt, an authority on child behavior
Indobit-A-NYT1983 - July 1 - Sep 30-338.txt," the ''Migrant Mother'' whose weary, beaten face stares from one of the most famous photographs of the Great Depression"
Indobit-A-NYT1981 - July 1 - Sep 30-353.txt, a leading authority on muncipal bonds
Indobit-A-NYT1984_1-500-21.txt," mother of the late William Fitts Ryan, who represented Manhattan's West Side in Congress from 1961 until his death in 1972"
Indobit-A-NYT1982_1001-1500-150.txt, hero of the Soviet Baltic front in World War II
Indobit-A-NYT1984_501-1000-442.txt, a marine salvage expert who salvaged more than $1 billion in vessels and cargo
Indobit-A-NYT1986_1-500-462.txt, a frequent contributor to The New Yorker who used the pen name Natacha Stewart
Indobit-A-NYT1986_501-1000-79.txt," the former Sultan of Brunei, who abdicated his throne in 1967"
Indobit-A-NYT1983 - Oct 1 - Dec 31-77.txt,
Indobit-A-NYT1981 - Oct 1 - Dec 31-76.txt, 60
Indobit-A-NYT1984_1-500-248.txt, a former Staten Island lung specialist who led in the testing of a drug in the 1950's that is still widely used to treat tuberculosis
Indobit-A-NYT1984_1001-1500-400.txt, a leading figure in New York City's charitable and philanthropic activities in the 1950's and 1960's
Indobit-A-NYT1986_1001-1500-400.txt," Otmar Emminger, a former head of West Germany's central bank"
Indobit-A-NYT1982_1-500-185.txt, Asher ben Mazliach
Indobit-A-NYT1983 - April 1 - June 30-351.txt, who helped establish an Air Force training program for black pilots at Tuskegee Institute in Alabama before World War II
Indobit-A-NYT1987 - April 1 - June 30-370.txt, a Benedictine nun who was a pioneer in the use of electronics in the classroom
Indobit-A-NYT1981 - Jan 1 - March 31-352.txt, who ranked with Marcel Carne and Jean Renoir as one of the grand old men of the French cinema
Indobit-A-NYT1981 - Jan 1 - March 31-211.txt,
Indobit-A-NYT1984_1001-1500-8.txt, a travel expert and conservationist
Indobit-A-NYT1985 - Oct 1 - Dec 31-288.txt, a suffragist who was one of the first women to hold a seat on the New York Stock Exchange
Indobit-A-NYT1982_1-500-193.txt, a Democratic Assemblyman from Brooklyn
Indobit-A-NYT1982_1001-1500-153.txt, who helped start the Hardee's restaurant chain
Indobit-A-NYT1985 - Oct 1 - Dec 31-71.txt, who campaigned as a segregationist but guided Mississippi into desegregation after taking office
Indobit-A-NYT1983 - Oct 1 - Dec 31-209.txt,
Indobit-A-NYT1982_1001-1500-163.txt, who trained two winners of the Hambletonian
Indobit-A-NYT1984_1-500-358.txt," whose animated, snapshotlike pictures helped change the nature of photography over the last 20 years"
Indobit-A-NYT1984_1001-1500-96.txt,
Indobit-A-NYT1986_501-1000-439.txt," Pa., Dec. 2 Archbishop Martin J. O'Connor, one of the leading Americans in the Vatican hierarchy for more than two decades"
Indobit-A-NYT1982_1-500-242.txt, the assistant treasurer of the Hearst Corporation
Indobit-A-NYT1981 - Jan 1 - March 31-29.txt," McCann, a cut-stone contractor whose companies provided the exterior of many notable buildings in the New York area"
Indobit-A-NYT1981 - Jan 1 - March 31-18.txt, the grandmother who went to Washington to ''raise a little hell'' on Capitol Hill in 1962
Indobit-A-NYT1984_1001-1500-403.txt, inventor of the shopping cart and a multimillionaire philanthropist
Indobit-A-NYT1982_1001-1500-439.txt, inventor of the ''dead man's control'' used in the safety system of every train
Indobit-A-NYT1985 - July 1 - Sep 30-71.txt, a Hollywood cinematographer
Indobit-A-NYT1982_501-1000-180.txt," Fla., June 4 James Earl Webb, who parlayed a drugstore operation and a flair for showmanship into a multimillion-dollar business"
Indobit-A-NYT1985 - Oct 1 - Dec 31-117.txt, a certified public accountant active in civic affairs
Indobit-A-NYT1985 - April 1 - June 30-316.txt, an official at social service agencies for more than three decades
Indobit-A-NYT1984_1001-1500-228.txt, Pinhas Ben-Mazliah
Indobit-A-NYT1983 - April 1 - June 30-242.txt, at one time considered the best Alpine skier in the Soviet Union
Indobit-A-NYT1983 - Jan 1 - March 31-97.txt,
Indobit-A-NYT1985 - Jan 1 - March 31-160.txt, who sponsored New York State's first minimum-wage law
Indobit-A-NYT1981 - Jan 1 - March 31-178.txt,
Indobit-A-NYT1985 - Oct 1 - Dec 31-328.txt," wife of Senator Barry Goldwater, Republican of Arizona"
Indobit-A-NYT1984_1-500-12.txt, a former New York State Assemblyman who was co-sponsor of the 1955 Mitchell-Lama middle- income housing law
Indobit-A-NYT1981 - July 1 - Sep 30-38.txt, a voter registrar here who was a target of protest marches in 1965
Indobit-A-NYT1985 - April 1 - June 30-24.txt," 62 years old, and his mother Eileen, 84, were killed tonight when they were struck by a car while on their way to church"
Indobit-A-NYT1982_1001-1500-56.txt, who presided over a rape trial that ultimately led to a Supreme Court decision requiring the police to advise criminal suspects of their right to remain silent
Indobit-A-NYT1985 - April 1 - June 30-64.txt, a former New York State Assemblyman
Indobit-A-NYT1986_1-500-45.txt, believed to be one of the longest-living victims of AIDS
Indobit-A-NYT1987 - Jan 1 - March 31-56.txt, a pioneer in the design of contemporary furniture whose signature served as the logo for his chain of stores in the New York metropolitan region
Indobit-A-NYT1982_501-1000-347.txt, a securities specialist
Indobit-A-NYT1981 - July 1 - Sep 30-298.txt, a former advertising executiv e
Indobit-A-NYT1986_1-500-117.txt, an amateur golfer and one of last survivors of the sinking of the Titanic
Indobit-A-NYT1987 - Jan 1 - March 31-195.txt, who championed the cause of civil rights in a 58-year career
Indobit-A-NYT1981 - Oct 1 - Dec 31-98.txt, a three-time world record-holder in distance running
Indobit-A-NYT1982_1-500-357.txt, one of the last surviving close disciples of Mohandas K. Gandhi
Indobit-A-NYT1980_501-904-377.txt, whose compositions for cantors and choirs are sung in synagogues all over the world
Indobit-A-NYT1987 - April 1 - June 30-147.txt, the AIDS patient who renewed his wedding vows at St. Patrick's Cathedral after being told he would not be allowed to because of his illness
Indobit-A-NYT1983 - Jan 1 - March 31-267.txt, who developed the Kodachrome color photography process with a boyhood friend
Indobit-A-NYT1983 - Oct 1 - Dec 31-366.txt, who was official greeter at the ''21'' Club for 28 years
Indobit-A-NYT1984_501-1000-427.txt, the driving force behind much of the nation's social legislation
Indobit-A-NYT1982_1501-1630-87.txt,
Indobit-A-NYT1980_501-904-87.txt,
Indobit-A-NYT1986_501-1000-275.txt, who spent most of his professional life as an advocate of improved automobile safety
Indobit-A-NYT1985 - April 1 - June 30-263.txt, who headed the Ringling Brothers and Barnum & Bailey Circus for 30 years until its sale by the Ringling family in 1967
Indobit-A-NYT1980_1-500-412.txt," the wife of James R. Hoffa, the former teamsters' union leader who has been missing and presumed dead since July 30, 1975"
Indobit-A-NYT1981 - Jan 1 - March 31-416.txt, etcher and former member of the Connecticut Commission on the Arts
Indobit-A-NYT1983 - July 1 - Sep 30-118.txt,
Indobit-A-NYT1982_1-500-233.txt, a food expert who wrote a number of cookbooks
Indobit-A-NYT1986_1001-1500-408.txt, the oil industry analyst who accurately forecast the 1979 gasoline shortage and whose biweekly survey of nationwide gasoline prices was widely quoted
Indobit-A-NYT1980_1-500-220.txt, an authority on education and child welfare
Indobit-A-NYT1986_1-500-291.txt, a durable nightclub comic who spun tales in the patois of the garment district for more than a quarter of a century
Indobit-A-NYT1983 - July 1 - Sep 30-321.txt,
Indobit-A-NYT1985 - Jan 1 - March 31-133.txt,
Indobit-A-NYT1987 - April 1 - June 30-254.txt, a New York realtor and developer for more than 60 years
Indobit-A-NYT1981 - July 1 - Sep 30-195.txt,
Indobit-A-NYT1985 - Oct 1 - Dec 31-119.txt, who developed the treatment of heart disease in which a balloon is used to clear arteries of fatty deposits
Indobit-A-NYT1981 - Oct 1 - Dec 31-440.txt, an influential figure in the Vatican hierarchy
Indobit-A-NYT1981 - July 1 - Sep 30-117.txt, who was active in educational and social service programs
Indobit-A-NYT1984_1-500-463.txt, who led the capture of Rome in 1944
Indobit-A-NYT1983 - July 1 - Sep 30-67.txt, a philanthropist and patron of the arts
Indobit-A-NYT1985 - Oct 1 - Dec 31-81.txt,
Indobit-A-NYT1984_1-500-423.txt, one of the Soviet Union's leading aircraft designers
Indobit-A-NYT1985 - Jan 1 - March 31-276.txt, a leader in endocrinology and metabolism research who developed drug treatments to prevent some kinds of kidney stone formations
Indobit-A-NYT1987 - April 1 - June 30-46.txt, for many years one of Manhattan's most prominent advertising agency executives
Indobit-A-NYT1985 - April 1 - June 30-7.txt, a Methodist missionary who rose to prominence as a leader of the movement against the Vietnam War
Indobit-A-NYT1980_501-904-35.txt,
Indobit-A-NYT1983 - Oct 1 - Dec 31-371.txt, the younger brother of King Hassan II of Morocco
Indobit-A-NYT1982_1001-1500-427.txt, a sonar expert and specialist in underwater acoustics who recorded the songs of humpback whales
Indobit-A-NYT1986_1001-1500-491.txt, who in a long political career helped found the Turkish Republic and was later imprisoned under a death sentence
Indobit-A-NYT1987 - April 1 - June 30-236.txt," the irrepressible English-born comedienne whose tart, quick-witted repartee became her trademark"
Indobit-A-NYT1986_1-500-28.txt," his head bowed, was among the mourners who came to pay tribute to the 40-year-old doctor"
Indobit-A-NYT1984_1001-1500-442.txt, identified by the Pennsylvania Crime Commission as head of southwestern Pennsylvania's organized crime group
Indobit-A-NYT1981 - Jan 1 - March 31-51.txt, who helped make Road America one of the most successful road courses in American motor racing
Indobit-A-NYT1984_1-500-33.txt, a World War I flier who went on to successful business and political careers
Indobit-A-NYT1980_1-500-45.txt, who practiced law in New York City for 44 years and was active in several Jewish organizations in the city and in Yonkers
Indobit-A-NYT1981 - Jan 1 - March 31-279.txt, the first black woman elected to the San Francisco Board of Supervisors
Indobit-A-NYT1986_1-500-357.txt, one of the top Soviet jurists for nearly three decades
Indobit-A-NYT1984_501-1000-216.txt, former Speaker of the Maryland House of Delegates
Indobit-A-NYT1983 - Oct 1 - Dec 31-277.txt, inventor of the first practical automobile heater and the three-way lightbulb and a developer of the dial telephone
Indobit-A-NYT1987 - Jan 1 - March 31-83.txt, one of three former San Francisco 49er players stricken with Lou Gehrig's disease in the last two years
Indobit-A-NYT1986_501-1000-17.txt, an American who spent eight years in Soviet labor camps
Indobit-A-NYT1982_1001-1500-213.txt,
Indobit-A-NYT1981 - April 1 - June 30-405.txt," 86, Creator of a Line Of Dolls Shown by Lord & Taylor Elsie Shaver, the creator of a line of whimsical dolls called the Five Little Shavers that was featured in Lord & Taylor more than 40 years ago"
Indobit-A-NYT1981 - April 1 - June 30-200.txt, an internationally known French archeologist who was an authority on the culture of Neanderthal man and a pioneer in the study of how ancient man made and used stone tools
Indobit-A-NYT1982_1001-1500-467.txt, the Oscar-winning creator of the ''Looney Tunes'' cartoons
Indobit-A-NYT1982_501-1000-25.txt,
Indobit-A-NYT1985 - Jan 1 - March 31-16.txt,
Indobit-A-NYT1983 - July 1 - Sep 30-188.txt,
Indobit-A-NYT1981 - July 1 - Sep 30-290.txt," one of five members of the Socialist Party ousted by the New York State Assembly in 1920, and later a deputy New York City comptroller and magistrate"
Indobit-A-NYT1980_1-500-413.txt, a philanthropist and a breeder of Hackney horses
Indobit-A-NYT1983 - Oct 1 - Dec 31-34.txt,
Indobit-A-NYT1984_501-1000-4.txt,
Indobit-A-NYT1985 - Oct 1 - Dec 31-92.txt, a retired member of the New York Stock Exchange
Indobit-A-NYT1982_1001-1500-130.txt,
Indobit-A-NYT1983 - Oct 1 - Dec 31-319.txt, former deputy comissioner of the New York State Department of Social Welfare
Indobit-A-NYT1983 - July 1 - Sep 30-239.txt, who headed a commission that led to widespread changes in National Park policies
Indobit-A-NYT1987 - Jan 1 - March 31-178.txt, the wife of a Soviet dissident
Indobit-A-NYT1982_1-500-275.txt, a crusty East Texan whose snuff habit and fistfights made him a political legend in the state
Indobit-A-NYT1986_501-1000-262.txt, who co-produced the fireworks display at Liberty Weekend in Manhattan last summer
Indobit-A-NYT1984_1-500-225.txt, former head of the Eastern ship repair district of Bethlehem Steel
Indobit-A-NYT1986_501-1000-43.txt, the first Speaker of the British House of Commons from the Labor Party
Indobit-A-NYT1981 - Oct 1 - Dec 31-203.txt, the cinematic pioneer whose 1927 classic ''Napoleon'' is still acclaimed by audiences around the world
Indobit-A-NYT1983 - Oct 1 - Dec 31-152.txt, a pioneer in the study and treatment of allergies
Indobit-A-NYT1981 - Oct 1 - Dec 31-118.txt," he was ''one of the few great men of our century - with awesome strength of character, torrential passion"
Indobit-A-NYT1985 - July 1 - Sep 30-62.txt," who rose from obscurity as a disabled and jobless miner in Ohley, W. Va., to the presidency of the United Mine Workers of America"
Indobit-A-NYT1982_1-500-176.txt,
Indobit-A-NYT1983 - April 1 - June 30-189.txt,
Indobit-A-NYT1985 - July 1 - Sep 30-366.txt, a physiologist and leading researcher on body temperature and the measurement of pain
Indobit-A-NYT1982_1001-1500-471.txt,
Indobit-A-NYT1981 - Oct 1 - Dec 31-433.txt, a Marxist theoretician and organizer
Indobit-A-NYT1981 - April 1 - June 30-46.txt, a star second baseman of the Negro National League in the 1930's and 1940's
Indobit-A-NYT1982_1-500-147.txt, a flamboyant San Francisco social figure who said she once had an affair with John F. Kennedy
Indobit-A-NYT1986_1-500-153.txt, one of the first women to become a broker on the New York Stock Exchange
Indobit-A-NYT1986_501-1000-238.txt, a leading figure in the presentation of performing arts in Los Angeles
Indobit-A-NYT1986_1001-1500-17.txt, who helped shape economic development throughout the developing world
Indobit-A-NYT1983 - July 1 - Sep 30-387.txt," who held Federal, state and municipal legal posts in New Jersey and was active in Greek-American affairs"
Indobit-A-NYT1983 - Jan 1 - March 31-394.txt, Italy's May King of 1946 whose throne was voted out from under him when he succeeded his banished father
Indobit-A-NYT1986_501-1000-330.txt, one of Stalin's closest aides and a member of the Soviet leadership from 1921 to 1957
Indobit-A-NYT1980_501-904-280.txt, an endocrinologist and nutritionist
Indobit-A-NYT1987 - July 1 - Aug 31-124.txt, a champion of the poor and oppressed
Indobit-A-NYT1985 - July 1 - Sep 30-228.txt," who transformed a tiny root beer stand in Washington into the Marriott Corporation, a $3 billion lodging and food service empire"
Indobit-A-NYT1982_1001-1500-206.txt, removed from the criminal bench on charges of bribery and extorting campaign help from racketeers but later elected as a lesser jurist
Indobit-A-NYT1982_1001-1500-303.txt," a quiet, reserved Nebraskan whose fondness for postal greetings helped him parlay two shoeboxes of imported postcards into the world's largest greeting card concern, Hallmark Cards Inc."
Indobit-A-NYT1981 - Jan 1 - March 31-249.txt,
Indobit-A-NYT1986_1-500-419.txt,
Indobit-A-NYT1986_1001-1500-175.txt, a survivor of the Titanic
Indobit-A-NYT1983 - July 1 - Sep 30-30.txt, one of the nation's leading thinkers on nuclear strategies and the future
Indobit-A-NYT1984_1-500-11.txt, a leading West German expert on the Soviet Union and China
Indobit-A-NYT1982_501-1000-167.txt, a philanthropist and New York social leader whose personal wealth amounted to more than $50 million
Indobit-A-NYT1985 - Jan 1 - March 31-134.txt, a leader in historic preservation
Indobit-A-NYT1987 - July 1 - Aug 31-1.txt," who served the parish of Trinity Church for 37 years, 20 of them as vicar of historic St. Paul's Chapel"
Indobit-A-NYT1984_1501-1563-11.txt,
Indobit-A-NYT1981 - Oct 1 - Dec 31-277.txt," the leader of the so-called ''Whiz Kids'' who devised modern management systems and one of the founders of Litton Industries, the sprawling conglomerate"
Indobit-A-NYT1984_501-1000-462.txt,
Indobit-A-NYT1986_501-1000-490.txt, whose efforts to remove a surgical feeding tube led to a court case over his medical treatment
Indobit-A-NYT1983 - Oct 1 - Dec 31-383.txt,
Indobit-A-NYT1982_1-500-104.txt,
