fn,clause
Indobit-A-NYT1981 - Oct 1 - Dec 31-127.txt, a financier who developed the West Side Airlines Terminal and established commuter seaplane bases on the East River
Indobit-A-NYT1983 - July 1 - Sep 30-159.txt, one of France's most influential chefs
Indobit-A-NYT1985 - July 1 - Sep 30-288.txt,
Indobit-A-NYT1986_1-500-199.txt,
Indobit-A-NYT1983 - Jan 1 - March 31-200.txt, who served as an agent of the Federal Bureau of Investigation for 53 years and worked on the investigation of John Dillinger and other underworld figures
Indobit-A-NYT1981 - Jan 1 - March 31-2.txt, who was inspired to form the Big Brothers organization when he saw a ragged boy and his dog rummaging through trash for food 77 years ago
Indobit-A-NYT1981 - April 1 - June 30-367.txt, who retired from the Coast Guard in 1959 after 32 years of service
Indobit-A-NYT1983 - Jan 1 - March 31-17.txt, a prominent patron of the arts in New York City and Washington
Indobit-A-NYT1980_1-500-431.txt, a housing and city planning authority who helped draft the legislation that created the Federal Housing Administration and who coined the term ''urban renewal
Indobit-A-NYT1985 - July 1 - Sep 30-2.txt,
Indobit-A-NYT1984_1-500-469.txt, whose capture of Rome in 1944 highlighted a sometimes controversial career spanning both world wars and the Korean War
Indobit-A-NYT1982_1-500-258.txt, widely regarded as the world's foremost authority on Jewish mysticism
Indobit-A-NYT1981 - July 1 - Sep 30-150.txt," one of the historic and flamboyant figures in American publishing, who in the post-World War I period brought out the work of Thornton Wilder, Ford Madox Ford, Theodore Dreiser and Leon Trotsky, and who was one of the pioneers in the paperback and book-club field"
Indobit-A-NYT1980_501-904-55.txt, a Buffalo restaurateur who has been credited with originating Buffalo fried chicken wings
Indobit-A-NYT1986_1-500-314.txt," the wife of the Albanian leader, Ramiz Alia"
Indobit-A-NYT1983 - April 1 - June 30-7.txt," a philanthropist whose farm, Scaleby, in Virginia's Shenandoah Valley, was a thoroughbred horse breeding center between the World Wars"
Indobit-A-NYT1982_1-500-306.txt,
Indobit-A-NYT1984_501-1000-154.txt,
Indobit-A-NYT1985 - Oct 1 - Dec 31-397.txt, a political organizer and lobbyist who had worked with two generations of the Kennedy family
Indobit-A-NYT1984_501-1000-188.txt,
Indobit-A-NYT1987 - April 1 - June 30-302.txt, a veteran broadcaster
Indobit-A-NYT1986_1-500-236.txt, a war hero who became a pacifist
Indobit-A-NYT1983 - Jan 1 - March 31-392.txt, a co-winner of the 1967 Nobel Prize in physiology for advancing knowledge of vision
Indobit-A-NYT1987 - Jan 1 - March 31-218.txt, an Air Force officer whose influential theories of counterinsurgent warfare proved successful in the Philippines after World War II but failed to bring victory in South Vietnam
Indobit-A-NYT1982_1-500-118.txt, a pioneer in electronic lighting who is considered to be the inventor of the portable strobe light for still cameras
Indobit-A-NYT1984_1001-1500-432.txt,
Indobit-A-NYT1985 - July 1 - Sep 30-407.txt, the builder of West Germany's largest publishing empire and a prominent conservative voice for three decades
Indobit-A-NYT1987 - Jan 1 - March 31-49.txt, a member of the Republican National Committee since 1965
Indobit-A-NYT1987 - Jan 1 - March 31-15.txt, a former Canadian Cabinet member and International Monetary Fund official
Indobit-A-NYT1986_501-1000-148.txt," a New York State Assemblyman who represented the Huntington, L.I., area for 14 years"
Indobit-A-NYT1985 - Oct 1 - Dec 31-295.txt," the headmaster of the Taft School in Watertown, Conn., for 27 years"
Indobit-A-NYT1982_1001-1500-191.txt,
Indobit-A-NYT1987 - Jan 1 - March 31-373.txt, an influential stock market forecaster who retired in 1983
Indobit-A-NYT1983 - Jan 1 - March 31-323.txt, one of the first Soviet dissident writers to be deprived of Soviet citizenship while abroad
Indobit-A-NYT1985 - July 1 - Sep 30-75.txt, who represented Illinois for 40 years in Congress and served as House Republican whip for more than 30 years before he retired in 1975
Indobit-A-NYT1985 - Jan 1 - March 31-98.txt, who held posts in a number of civic organizations in Brooklyn
Indobit-A-NYT1985 - Jan 1 - March 31-64.txt, the World War II hero known as Commando Kelly
Indobit-A-NYT1987 - Jan 1 - March 31-138.txt, the wife of former State Senator Samuel L. Greenberg
Indobit-A-NYT1985 - Jan 1 - March 31-317.txt, a mainstay of Caribbean democracy and a strong supporter of the 1983 invasion of Grenada
Indobit-A-NYT1983 - April 1 - June 30-58.txt, the first black to become a Cabinet member in New Jersey
Indobit-A-NYT1983 - Oct 1 - Dec 31-36.txt, who created the line of plastic food and drink containers known as Tupperware
Indobit-A-NYT1982_501-1000-74.txt, who as Barnett Janner served four decades in the House of Commons
Indobit-A-NYT1983 - Jan 1 - March 31-55.txt," Ichiro Nakagawa, an outspoken right-winger"
Indobit-A-NYT1985 - Oct 1 - Dec 31-389.txt, a Florida philanthropist recognized as one of the founders of the American vending-machine industry
Indobit-A-NYT1983 - Oct 1 - Dec 31-320.txt, a leading member of Italy's Communist Party
Indobit-A-NYT1981 - Oct 1 - Dec 31-69.txt, a voice of Southern moderation in his 16 years in Congress
Indobit-A-NYT1982_501-1000-71.txt, financier
Indobit-A-NYT1980_1-500-381.txt,
Indobit-A-NYT1982_501-1000-89.txt, a real estate broker on the North Shore of Long Island
Indobit-A-NYT1983 - July 1 - Sep 30-75.txt, who was primarily responsible for organizing early American scientific efforts in space
Indobit-A-NYT1983 - Jan 1 - March 31-247.txt, one of the developers of an important technique in the diagnosis of heart disease in adults
Indobit-A-NYT1983 - April 1 - June 30-5.txt, the first black to be named as a New York City magistrate
Indobit-A-NYT1983 - Oct 1 - Dec 31-403.txt, who investigated the 1937 Hindenburg disaster for the Department of Commerce
Indobit-A-NYT1984_1001-1500-316.txt, who broke with Yasir Arafat in 1972 to form a Palestine guerrilla group blamed for assassinations and terrorist attacks around the world
Indobit-A-NYT1986_1-500-67.txt, who gained recognition last year by posing as a drifter in an investigation of Medicaid fraud
Indobit-A-NYT1982_501-1000-124.txt, the Brooklyn Dodger outfielder whose popularity with Ebbets Field fans in the 1940's brought him the nickname The People's Cherce
Indobit-A-NYT1986_501-1000-355.txt,
Indobit-A-NYT1982_1001-1500-11.txt," the world's longest-reigning sovereign, who blended 500-year-old customs with up-to-date pragmatism to produce an African economic and political success story"
Indobit-A-NYT1985 - July 1 - Sep 30-438.txt, who was active in community affairs
Indobit-A-NYT1986_1001-1500-83.txt," retired, an expert on naval logistics who wrote about the dangers of the nuclear arms race"
Indobit-A-NYT1986_501-1000-10.txt, who headed 50 corporations and held the reins of the state's third-largest trust
Indobit-A-NYT1980_1-500-375.txt, head of the Amalgamated Meat Cutters and Butcher Workmen of North America for more than 50 years
Indobit-A-NYT1982_1001-1500-463.txt, who was associated with the rental and management of the Empire State Building from 1929 to his retirement in 1980
Indobit-A-NYT1982_1001-1500-389.txt, a widely venerated disciple of Mohandas K. Gandhi and one of India's best-known social reformers
Indobit-A-NYT1981 - Oct 1 - Dec 31-380.txt," who helped her late husband, John D. MacArthur, build a billion-dollar insurance and real estate fortune"
Indobit-A-NYT1984_501-1000-186.txt, who dominated golf in New Jersey for many years and won three professional tour events
Indobit-A-NYT1983 - Oct 1 - Dec 31-404.txt, a New Jersey Republican who represented northern Bergen County in the House of Representatives for 25 years
Indobit-A-NYT1986_1001-1500-330.txt, Republican of Illinois
Indobit-A-NYT1982_1-500-150.txt, who helped make group practice an important part of American health care
